"Attributes that should be priotitized in searches","Atributos relevantes en las búsquedas"
"Domatix Catalog Search","Domatix - Búsqueda Relevante"
"Negate relevance","Relevancia negativa"
"Prioritized Attributes","Atributos Relevantes"
"The weight of prioritized attributes","Relevancia asignada a los atributos"
"Weight of prioritized attributes","Relevancia asignada"
"If set relevances in fulltext searches will be negated","Si se asigna la relevancia se asignará en orden inverso"
"Stock relevance", "Relevancia en stock"
"If set out of stock items will have 0 relevance","Productos sin stock al final de los resultados"
